category,location_type,location,context,outcome_status,persistent_id,id,location_subtype,month
anti-social-behaviour,Force,"{'latitude': '51.515984', 'street': {'id': 1679703, 'name': 'On or near '}, 'longitude': '-0.118595'}",,,,107819083,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515088', 'street': {'id': 1676649, 'name': 'On or near Hills Place'}, 'longitude': '-0.140222'}",,,,107818770,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.515939', 'street': {'id': 1677739, 'name': 'On or near Soho Street'}, 'longitude': '-0.132693'}",,,,107817643,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.507970', 'street': {'id': 1677656, 'name': 'On or near Charles Ii Street'}, 'longitude': '-0.133162'}",,,,107817852,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516623', 'street': {'id': 1677604, 'name': 'On or near '}, 'longitude': '-0.132976'}",,,,107817859,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516341', 'street': {'id': 1679597, 'name': 'On or near '}, 'longitude': '-0.120151'}",,,,107817861,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516037', 'street': {'id': 1678369, 'name': 'On or near Earnshaw Street'}, 'longitude': '-0.128682'}",,,,107817940,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.500978', 'street': {'id': 1678704, 'name': 'On or near Bridge Street'}, 'longitude': '-0.125524'}",,,,107813915,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.510468', 'street': {'id': 1678029, 'name': 'On or near Leicester Square'}, 'longitude': '-0.130769'}",,,,107813935,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.509396', 'street': {'id': 1678091, 'name': 'On or near Orange Street'}, 'longitude': '-0.130626'}",,,,107813937,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.508990', 'street': {'id': 1676361, 'name': 'On or near Albemarle Street'}, 'longitude': '-0.141882'}",,,,107814063,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516037', 'street': {'id': 1678369, 'name': 'On or near Earnshaw Street'}, 'longitude': '-0.128682'}",,,,107814107,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.518405', 'street': {'id': 1679695, 'name': 'On or near Procter Street'}, 'longitude': '-0.119302'}",,,,107819030,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.504507', 'street': {'id': 1681118, 'name': 'On or near Cornwall Road'}, 'longitude': '-0.110609'}",,,,107822241,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.514286', 'street': {'id': 1677663, 'name': 'On or near Chapone Place'}, 'longitude': '-0.132818'}",,,,107825198,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.506985', 'street': {'id': 1678839, 'name': 'On or near Northumberland Avenue'}, 'longitude': '-0.124975'}",,,,107825311,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.502888', 'street': {'id': 1679979, 'name': 'On or near Chicheley Street'}, 'longitude': '-0.117319'}",,,,107814176,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.494818', 'street': {'id': 1679973, 'name': 'On or near Pratt Walk'}, 'longitude': '-0.117089'}",,,,107818810,,2023-01
anti-social-behaviour,Force,"{'latitude': '51.516295', 'street': {'id': 1678131, 'name': 'On or near '}, 'longitude': '-0.129487'}",,,,107818894,,2023-01
